shop id,name,seller_name,contact_no,password,address,rating,product_category
1,Atomera Incorporated,Lloyd,245-451-1734,JTu2STN,15761 Bowman Street,1,2
2,Omega Protein Corporation,Haily,160-184-0586,2NmhJ3AXAR,985 Acker Road,3,3
3,McClatchy Company (The),Elonore,543-124-6520,QW1hp39kn5,1876 Bonner Hill,1,5
4,Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,Michele,982-756-6223,QigYXAZ3yCT,58 Crownhardt Terrace,2,2
5,Bright Horizons Family Solutions Inc.,Adora,284-727-8262,Wnk4kPW,89037 Westerfield Point,4,4
6,Yelp Inc.,Indira,810-433-0521,L03z28u,79616 Stone Corner Lane,4,4
7,BeyondSpring Inc.,Vilhelmina,755-636-7264,R9MQJ5laV,74155 Reindahl Place,4,5
8,MobileIron Inc.,Fonsie,398-138-8005,njrOjqvJu,8715 Monica Street,2,4
9,Aberdeen Singapore Fund Inc.,Felic,650-979-2169,EaXMmDGXWR7,21 Chinook Trail,5,5
10,Dynex Capital Inc.,Aloisia,592-127-1281,hMArxFtDIg,35 Sloan Drive,2,5
11,KemPharm Inc.,Maurizia,818-221-4193,mFroqdikw,313 Monica Alley,3,4
12,Female Health Company (The),Lannie,496-663-4131,Acj8TIXkY,303 Sundown Trail,3,3
13,Ion Geophysical Corporation,Pietra,138-581-6747,NSYjLc1,34709 Dunning Point,1,7
14,Celestica Inc.,Taber,989-348-5100,IET1My,53 Mayfield Road,2,1
15,Delta Natural Gas Company Inc.,Josepha,880-304-3356,y11hFB,4203 Boyd Circle,4,1
16,China Southern Airlines Company Limited,Zorina,871-888-8631,ruEudN2,781 Lighthouse Bay Point,2,5
17,BioAmber Inc.,Brietta,328-299-5739,s4hsqGQt8Mu,22 School Court,2,1
18,American Financial Group Inc.,Ernie,980-785-9222,zx58L7beH,31 Ohio Alley,3,4
19,Fox Factory Holding Corp.,Granville,544-314-4821,mXRM2z0HO,9451 Fair Oaks Lane,1,2
20,NextEra Energy Inc.,Kirsteni,907-426-5426,BoNcrcIX,7646 Clarendon Pass,3,7
21,Fifth Third Bancorp,Elysee,703-649-5354,ysfbNBjHs,72285 Hagan Alley,4,6
22,Colgate-Palmolive Company,Tabbatha,641-821-9741,4aWsz6ma,29056 Judy Court,1,4
23,Oil-Dri Corporation Of America,Zuzana,798-254-5815,RTrD6oe9i,577 Ilene Drive,5,3
24,Vical Incorporated,Simmonds,508-394-6784,GIJefDHKRGKC,4 Towne Circle,3,3
25,Natl Westminster Pfd,Duke,968-876-5374,YcsQWZ,4 Westport Way,3,1
26,First Trust Strategic High Income Fund II,Bentlee,500-313-3020,ZABj82Vds,080 Melvin Drive,4,4
27,Mesa Laboratories Inc.,Talbot,152-866-6043,DsVNTCeCo5j,07 Roth Place,2,2
